Symbol,Coin,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Mkt Cap
DUSK,DUSK Network,$0.101465,0.7%,-12.6%,-16.9%,-26.9%,"$8,971,798","427,614,409",500 Million,"$43,387,549"
WRX,WazirX,$0.094249,0.3%,-6.9%,-19.9%,-24.5%,"$1,054,001","456,517,027",1 Billion,"$43,023,896"
BOBA,Boba Network,$0.124273,-1.0%,-4.4%,-5.8%,-7.7%,"$1,251,827","342,812,539",500 Million,"$42,607,364"
ARK,ARK,$0.243147,2.2%,-3.6%,-14.9%,-13.9%,"$6,282,794","174,996,974",∞,"$42,230,563"
ZIG,Zignaly,$0.00514574,-0.4%,-3.4%,-3.4%,-5.1%,"$374,790",0,2 Billion,"$23,266,299"
CBK,Cobak,$0.547877,0.6%,-3.9%,-25.9%,-7.3%,"$6,521,553","76,447,561",100 Million,"$41,613,159"
RAY,Raydium,$0.183692,0.4%,-5.2%,-12.1%,-18.1%,"$2,526,995","224,066,848",555 Million,"$41,164,423"
CTC,Creditcoin,$0.163173,-1.2%,-9.0%,-15.2%,-16.2%,"$11,660,412","251,464,279",600 Million,"$40,963,095"
BADGER,Badger DAO,$2.08,-0.4%,-9.7%,-1.6%,-3.0%,"$9,326,879","19,626,631",21 Million,"$40,961,133"
ARRR,Pirate Chain,$0.209273,0.0%,-11.4%,-4.4%,16.3%,"$52,595","196,213,798",200 Million,"$40,975,684"
MNW,Morpheus Network,$1.08,-0.0%,2.3%,-3.0%,8.0%,"$178,435","37,520,088",47.9 Million,"$40,806,946"
RFR,Refereum,$0.00831489,0.9%,-10.0%,-32.3%,51.7%,"$15,194,525","4,877,586,401",5 Billion,"$40,526,665"
BFIC,Bficoin,$21.37,-0.1%,-3.2%,-1.4%,23.5%,"$585,265","1,889,774",21 Million,"$40,445,022"
GHST,Aavegotchi,$0.789132,-0.5%,-4.9%,-11.8%,-17.0%,"$1,328,668","51,157,239",52.7 Million,"$40,426,780"
DERO,Dero,$3.17,2.7%,-5.3%,-4.9%,-23.4%,"$14,323","12,677,351",18.4 Million,"$40,231,195"
DAWN,Dawn Protocol,$0.540059,-0.4%,-3.5%,-18.8%,-11.6%,"$2,572,054","74,464,266",76.6 Million,"$40,220,131"
MOON,r/CryptoCurrency Moons,$0.375537,-2.3%,-14.9%,-28.8%,5.0%,"$769,810","106,776,319",108 Million,"$40,157,955"
TMG,T-mac DAO,$24.68,16.5%,4.0%,42.7%,117.6%,"$16,703","1,750,000",1 Billion,"$40,035,039"
YGG,Yield Guild Games,$0.214961,3.2%,-18.6%,-32.8%,42.8%,"$57,752,509","185,125,000",1 Billion,"$39,868,011"
ALEX,ALEX Lab,$0.064788,-1.2%,-4.7%,-13.9%,-11.5%,"$346,650","612,802,136",613 Million,"$39,805,308"
SSX,SOMESING Exchange,$0.01408517,1.1%,-3.2%,-17.1%,-16.3%,"$756,212","2,825,668,513",5 Billion,"$39,739,745"
SOLO,Sologenic,$0.099204,0.1%,-12.1%,-22.0%,-39.6%,"$692,680","399,198,717",399 Million,"$39,631,648"
MOG,Mog Coin,$0.000000104166,31.9%,57.9%,239.6%,,"$4,756,574","390,570,159,911,439",391 Trillion,"$39,471,951"
VITA,VitaDAO,$1.63,-0.4%,3.5%,-44.6%,-46.6%,"$625,951","23,817,382",25.7 Million,"$39,349,393"
ARPA,ARPA,$0.04004264,1.4%,-13.2%,-28.0%,-19.2%,"$14,814,125","982,174,603",2 Billion,"$39,284,145"
10SET,Tenset,$0.232121,-0.2%,-8.6%,-15.2%,-22.8%,"$26,593","168,974,334",169 Million,"$39,161,868"
GODS,Gods Unchained,$0.163910,2.9%,-4.8%,-2.0%,1.3%,"$818,389","238,678,359",500 Million,"$39,103,733"
ACA,Acala,$0.04846415,1.3%,-4.7%,-16.0%,-24.6%,"$9,343,734","799,979,166",1.02 Billion,"$38,767,132"
HAY,Destablecoin HAY,$1.00,0.2%,0.1%,0.1%,0.0%,"$2,370,541","38,704,751",38.9 Million,"$38,716,780"
AERGO,Aergo,$0.087369,-0.0%,-8.1%,-18.6%,-21.1%,"$1,134,763","440,000,000",500 Million,"$38,481,970"
STRK,Strike,$9.93,0.5%,-5.0%,-12.9%,-13.3%,"$2,020,909","3,854,003",6.54 Million,"$38,185,487"
OGN,Origin Protocol,$0.075770,2.0%,-9.6%,-19.7%,-3.4%,"$14,575,418","502,728,259",1 Billion,"$38,092,978"
VEGA,Vega Protocol,$0.716568,0.5%,-4.0%,-14.7%,-36.2%,"$143,267","53,088,882",65 Million,"$38,066,480"
MFT,Hifi Finance [OLD],$0.00362701,-,-,-,-,-,"9,386,552,599",10 Billion,"$34,045,126"
AGLD,Adventure Gold,$0.485811,0.9%,-11.2%,-19.7%,-48.2%,"$10,248,089","77,280,001",77.3 Million,"$37,484,197"
KIN,Kin,$0.00001274,-1.3%,-9.8%,6.3%,18.5%,"$512,859","2,935,737,050,297",2.94 Trillion,"$37,417,378"
HOOK,Hooked Protocol,$0.746917,2.2%,-11.4%,-21.4%,-29.5%,"$11,832,776","50,000,000",500 Million,"$37,298,942"
VGX,Voyager VGX,$0.126780,-1.0%,-9.4%,-19.9%,-5.2%,"$5,238,329","293,569,429",294 Million,"$37,240,238"
XRP,HarryPotterObamaPacMan8Inu,$0.439136,3.0%,71.7%,138.0%,,"$3,351,615","84,470,217",84.5 Million,"$37,210,818"
RARE,SuperRare,$0.059972,0.0%,-7.6%,-15.3%,-22.4%,"$662,274","617,570,894",1 Billion,"$37,028,208"
HC,HyperCash,$0.051871,0.2%,-4.8%,-22.0%,-9.6%,"$77,536",0,84 Million,"$20,549,548"
TLM,Alien Worlds,$0.01005079,0.5%,-10.2%,-14.5%,-12.4%,"$8,778,305","3,644,573,437",6.1 Billion,"$36,647,958"
AURA,Aura Finance,$1.07,-0.3%,-6.4%,-9.9%,-32.8%,"$111,541","34,403,642",64.5 Million,"$36,600,584"
MTRG,Meter Governance,$1.69,0.3%,0.2%,-6.4%,-10.4%,"$92,371","21,564,447",45 Million,"$36,388,002"
FCT,Firmachain,$0.050173,1.0%,-10.1%,-22.9%,-4.5%,"$9,150,365","726,346,207",763 Million,"$36,395,501"
CEEK,CEEK Smart VR,$0.04372322,0.4%,-5.6%,-9.8%,-14.2%,"$3,735,698","830,725,361",1 Billion,"$36,358,437"
MPL,Maple,$4.56,-0.3%,-4.6%,-18.1%,-25.1%,"$544,136","7,919,160",10 Million,"$36,125,844"
NVIR,NvirWorld,$0.03351545,2.6%,-7.5%,40.4%,20.1%,"$672,848","1,071,465,523",10.7 Billion,"$36,031,060"
HEART,Humans.ai,$0.00796724,0.2%,-12.1%,-19.3%,-39.6%,"$280,201","4,504,500,000",7.8 Billion,"$35,921,205"
GRS,Groestlcoin,$0.429909,-2.8%,6.0%,19.6%,22.7%,"$136,314,572","83,200,539",105 Million,"$35,897,590"
SB,Snowbank,$223.97,0.3%,3.1%,3.6%,-1.0%,$270,"159,640",160 Thousand,"$35,754,066"
PHB,Phoenix Global [OLD],$0.01047954,0.1%,-0.3%,1.1%,22.9%,$17.48,"3,386,665,894",3.39 Billion,"$35,489,143"
WAN,Wanchain,$0.179746,-0.3%,-3.6%,-9.5%,-10.9%,"$1,366,948","196,925,440",210 Million,"$35,395,586"
META,Metadium,$0.02104134,1.4%,-6.8%,-22.5%,-18.0%,"$1,395,954","1,687,369,624",2 Billion,"$35,357,262"
ETN,Electroneum,$0.00196354,-0.1%,-0.9%,-4.0%,-2.4%,"$629,687","17,924,015,802",21 Billion,"$35,206,280"
BEAN,Bean,$0.951582,0.0%,-0.1%,-0.3%,-0.4%,$0.00,"35,237,206",35.2 Million,"$33,531,106"
BAD,Bad Idea AI,$0.000000066404,9.4%,-8.0%,-33.2%,118.1%,"$6,841,830","530,976,872,158,887",831 Trillion,"$35,134,583"
MOVR,Moonriver,$4.60,-0.2%,-8.1%,-10.5%,-10.7%,"$4,746,749","7,586,083",10.9 Million,"$34,771,552"
KILT,KILT Protocol,$0.279056,0.1%,-7.9%,-20.8%,-25.5%,"$217,727","124,485,765",160 Million,"$34,752,498"
HIFI,Hifi Finance,$0.339129,-0.4%,4.2%,5.5%,6.1%,"$6,114,156","103,238,216",119 Million,"$34,668,327"
BLZ,Bluzelle,$0.084521,0.9%,-12.5%,60.8%,36.1%,"$29,466,060","409,876,056",500 Million,"$34,594,383"
ZBC,Zebec Protocol,$0.01045833,1.1%,2.3%,11.1%,-2.6%,"$10,170,945","3,302,486,129",10 Billion,"$34,488,268"
LCX,LCX,$0.04439376,-0.2%,-1.7%,-12.0%,-18.4%,"$1,320,719","775,032,564",950 Million,"$34,409,014"
COMBO,COMBO,$0.483028,2.4%,-11.9%,-20.4%,-28.3%,"$3,445,744","71,051,748",100 Million,"$34,325,470"
SUPER,SuperVerse,$0.083034,0.3%,-4.8%,-11.2%,-21.8%,"$2,993,486","406,694,843",1 Billion,"$33,792,932"
FEI,Fei USD,$0.966683,0.2%,-1.9%,-2.0%,-3.1%,"$13,504","34,837,519",35.1 Million,"$33,673,882"
UQC,Uquid Coin,$3.37,0.2%,-2.5%,-7.8%,-12.0%,"$1,690,237","10,000,000",40 Million,"$33,656,904"
AURABAL,Aura BAL,$10.45,0.2%,-5.4%,-11.2%,-19.3%,"$14,138","3,223,302",3.22 Million,"$33,680,294"
CRE,Carry,$0.00383500,0.4%,-4.7%,-20.6%,2.2%,"$4,758,967","8,816,912,010",10 Billion,"$33,619,971"
EVMOS,Evmos,$0.061047,0.2%,-3.5%,-14.3%,-30.4%,"$901,315","550,375,678",1 Billion,"$33,516,844"
FINE,Refinable,$0.00233689,-1.6%,-10.4%,-13.9%,-30.0%,"$124,977",0,500 Million,"$19,934,365"
AUCTION,Bounce,$4.98,11.8%,14.8%,-5.0%,4.0%,"$7,336,018","6,500,020",7.64 Million,"$33,122,208"
RACA,Radio Caca,$0.00009820,-0.1%,-7.6%,-13.7%,-13.3%,"$3,614,028","335,464,574,834",430 Billion,"$32,940,627"
IDEX,IDEX,$0.04310713,0.4%,-9.6%,-17.3%,-21.3%,"$6,460,229","761,081,711",1 Billion,"$32,784,978"
DUST,Dust Protocol,$0.977210,-1.3%,-5.4%,-44.2%,-56.2%,"$939,397","33,297,819",33.3 Million,"$32,725,790"
CAW,A Hunters Dream,$0.000000051491,-1.1%,-8.6%,-25.7%,12.2%,"$876,578","636,666,666,666,667",667 Trillion,"$32,693,257"
SDAO,SingularityDAO,$0.386065,0.8%,-1.9%,-4.8%,-19.4%,"$993,939","84,389,922",100 Million,"$32,593,719"
TT,ThunderCore,$0.00313738,-0.5%,-7.6%,-21.9%,-16.0%,"$1,238,931","10,352,383,486",10.4 Billion,"$32,505,299"
STORJ,Storj,$0.224824,0.5%,-10.4%,-22.2%,-26.7%,"$15,832,723","143,787,439",425 Million,"$32,308,886"
USX,dForce USD,$0.996219,-0.3%,-0.1%,-0.3%,-0.3%,"$126,537","32,260,557",162 Million,"$32,183,444"
SOMM,Sommelier,$0.139751,0.4%,-5.8%,25.3%,4.6%,"$115,909","230,295,662",500 Million,"$32,153,317"
LOOMOLD,Loom Network (OLD),$0.03840563,0.3%,-6.4%,-20.8%,-17.8%,"$109,474","833,914,552",1 Billion,"$32,127,422"
B2M,Bit2Me,$0.00681126,-0.1%,-3.1%,-3.7%,-13.5%,"$349,931","4,713,890,000",5 Billion,"$32,121,302"
BEL,Bella Protocol,$0.538947,1.7%,-11.7%,-18.2%,-25.8%,"$4,438,514","59,500,000",100 Million,"$32,070,112"
ASD,AscendEx,$0.04239073,-0.6%,-1.1%,-4.5%,-29.0%,"$3,155,904","742,983,478",743 Million,"$31,899,756"
CHNG,Chainge Finance,$0.073930,0.5%,-0.8%,-9.5%,-18.1%,"$82,094","430,948,017",717 Million,"$31,852,960"
0X0,0x0.ai: AI Smart Contract,$0.03604171,2.6%,13.1%,-3.5%,-9.7%,"$1,006,185","891,250,000",891 Million,"$31,812,872"
DG,DeGate,$0.120237,0.0%,-1.1%,-20.4%,-19.2%,"$1,885","263,987,504",1 Billion,"$31,741,054"
BMEX,BitMEX,$0.317074,-0.1%,-8.9%,-13.3%,-11.9%,"$68,209","99,750,000",450 Million,"$31,658,355"
UWU,UwU Lend,$14.72,0.1%,-7.1%,-10.1%,-21.2%,"$34,549","2,143,139",16 Million,"$31,543,769"
TRU,TrueFi,$0.02949237,-0.2%,-12.6%,-17.9%,-22.2%,"$3,027,338","1,067,203,485",1.2 Billion,"$31,424,644"
SFUND,Seedify.fund,$0.614340,-0.2%,-3.2%,-13.3%,-18.2%,"$2,599,360","51,122,862",100 Million,"$31,419,441"
OXT,Orchid Protocol,$0.052878,0.8%,-9.9%,-43.8%,4.7%,"$9,943,555","591,544,729",1 Billion,"$31,293,704"
ELA,Elastos,$1.47,5.8%,1.0%,1.3%,12.7%,"$778,367","21,364,395",-,"$31,257,038"
GAS,Gas,$2.24,1.1%,-4.8%,-15.2%,-16.6%,"$4,473,410","13,935,116",100 Million,"$31,233,239"
XPRT,Persistence,$0.176234,0.5%,-3.2%,-19.8%,-37.5%,"$482,428","176,834,010",184 Million,"$31,131,857"
TRIAS,TriasLab,$3.18,4.8%,12.6%,-1.4%,-12.5%,"$1,350,858","9,777,245",10 Million,"$31,047,623"
PREMIA,Premia,$0.482037,0.3%,-5.3%,-3.0%,-20.8%,"$25,701","63,374,896",100 Million,"$30,547,363"
PERP,Perpetual Protocol,$0.422554,0.6%,-11.0%,-18.2%,-16.5%,"$5,078,596","72,609,864",150 Million,"$30,460,315"
FPIS,Frax Price Index Share,$1.47,0.2%,1.9%,3.4%,-21.2%,"$79,514","20,530,785",100 Million,"$30,222,563"
BAKE,BakerySwap,$0.104410,-0.4%,-5.8%,19.4%,3.8%,"$27,667,235","288,705,145",277 Million,"$30,157,337"
MOON,MOON (Ordinals),$0.300729,-0.2%,0.1%,0.1%,-19.0%,"$13,374","100,000,000",100 Million,"$30,061,674"
TBTC,tBTC,"$26,673.18",0.4%,-6.5%,-6.2%,-11.3%,"$881,620","1,114",1.11 Thousand,"$29,720,171"
TPT,TokenPocket Token,$0.00856382,-1.7%,-4.2%,-4.6%,-10.1%,"$49,718","3,466,457,401",5.9 Billion,"$29,715,562"
TLOS,Telos,$0.083904,-0.6%,-2.0%,-9.2%,-38.3%,"$1,237,724","352,892,729",355 Million,"$29,650,689"
CXO,CargoX,$0.176624,7.2%,7.5%,7.9%,16.5%,"$32,381","167,160,148",215 Million,"$29,524,372"
TONIC,Tectonic,$0.000000127957,-0.6%,-0.8%,-7.3%,8.7%,"$62,010","229,900,395,337,904",500 Trillion,"$29,420,052"
LAT,PlatON Network,$0.00696942,-1.1%,-1.4%,-9.5%,-14.2%,"$704,040","4,211,511,463",10.3 Billion,"$29,341,021"
BTRFLY,Redacted,$133.82,0.8%,-6.2%,-7.5%,-29.6%,"$113,833","218,663",219 Thousand,"$29,228,463"
BLID,Bolide,$0.01387687,-0.6%,2.9%,-15.6%,-17.9%,"$65,070","2,101,368,380",9.99 Billion,"$29,141,751"
POLIS,Star Atlas DAO,$0.132583,-0.4%,-11.7%,9.1%,8.7%,"$436,009","217,737,981",360 Million,"$28,887,256"
GOG,Guild of Guardians,$0.071218,-1.1%,-1.1%,15.5%,23.8%,"$337,594","402,689,335",1 Billion,"$28,854,867"
REEF,Reef,$0.00126189,0.3%,-9.0%,-18.8%,-24.2%,"$10,189,255","22,821,409,581",22.8 Billion,"$28,814,109"
AVA,Travala.com,$0.543638,-0.3%,-0.1%,-4.2%,-1.3%,"$2,780,792","52,425,132",61.4 Million,"$28,761,314"
INSTAR,INSTAR,$0.01598336,-,-,-,-,-,0,300 Million,"$37,569,532"
ERN,Ethernity Chain,$1.48,0.5%,-2.0%,-4.7%,-4.1%,"$2,175,569","19,176,577",30 Million,"$28,370,278"
XCM,Coinmetro,$0.093887,5.1%,-1.2%,-13.1%,-1.2%,$267,"302,267,836",329 Million,"$28,374,689"
SAITAMA,Saitama,$0.00063310,0.3%,-3.7%,-11.4%,-18.8%,"$428,595","44,711,832,657",44.8 Billion,"$28,254,372"
MCB,MUX Protocol,$7.43,0.3%,-1.0%,-10.4%,-45.5%,"$62,167","3,803,143",4.8 Million,"$28,241,816"
VR,Victoria VR,$0.00648624,-3.9%,-13.9%,-17.6%,-20.5%,"$516,927","4,333,877,460",16.8 Billion,"$28,161,151"
ROUTE,Router Protocol,$2.24,1.0%,-0.2%,-9.3%,-23.4%,"$1,413,189","12,506,171",20 Million,"$28,093,212"
MOC,Mossland,$0.070484,-0.2%,-8.2%,-19.9%,-13.4%,"$2,418,473","398,489,688",500 Million,"$28,066,349"
IRIS,IRISnet,$0.01818883,0.6%,-4.7%,-11.7%,-20.3%,"$742,206","1,540,055,657",1.99 Billion,"$28,016,453"
MELD,MELD,$0.01460956,3.4%,-3.1%,-6.5%,-37.0%,"$644,860","1,906,282,540",4 Billion,"$27,846,587"
ORAI,Oraichain,$2.05,-0.0%,-3.0%,-0.5%,-21.9%,"$867,406","13,564,471",16.8 Million,"$27,814,676"
PLEX,PLEX,$0.081879,-0.4%,-4.1%,-18.3%,5.4%,"$193,339","339,894,961",415 Million,"$27,803,015"
ZCX,Unizen,$0.04540864,0.5%,-10.7%,-15.2%,-27.4%,"$748,292","589,280,458",999 Million,"$27,769,380"
FORT,Forta,$0.117341,2.1%,0.6%,-11.7%,-8.7%,"$612,832","235,867,680",1 Billion,"$27,534,796"
KMD,Komodo,$0.197220,0.4%,-5.9%,-12.8%,-24.4%,"$1,210,849","138,640,234",200 Million,"$27,341,868"
NAKA,Nakamoto Games,$0.419014,-0.5%,-7.3%,-9.8%,6.5%,"$1,818,049","64,984,278",180 Million,"$27,201,099"
ADS,Adshares,$0.701796,0.0%,-2.2%,-4.4%,-5.9%,"$212,202","38,752,012",38.8 Million,"$27,209,919"
GBEX,Globiance Exchange,$0.000000071965,0.2%,-5.5%,-14.8%,-0.5%,"$163,330","378,355,950,568,613",500 Trillion,"$27,193,008"
FLM,Flamingo Finance,$0.053964,0.7%,-10.9%,-18.7%,-22.4%,"$2,818,067","504,153,826",504 Million,"$27,167,891"
VRSC,Verus Coin,$0.391153,1.3%,-5.7%,-5.5%,-1.9%,"$3,566","69,350,413",83.5 Million,"$27,126,183"
MULTI,Multichain,$1.40,-0.2%,-5.0%,-22.4%,-20.4%,"$3,125,606","19,363,293",100 Million,"$27,093,429"
EFI,Efinity,$0.04099985,-2.4%,-12.9%,-18.4%,-34.5%,"$1,652,719","650,442,641",2 Billion,"$26,619,570"
R,R,$0.992317,0.1%,0.7%,0.4%,0.3%,"$2,991,909","26,689,766",26.7 Million,"$26,504,291"
BAR,FC Barcelona Fan Token,$2.52,-0.7%,0.5%,-8.3%,5.4%,"$5,005,848","10,443,117",40 Million,"$26,462,656"
UTK,Utrust,$0.056259,-0.5%,-4.9%,-16.8%,-17.6%,"$2,301,919","470,000,000",500 Million,"$26,413,916"
PLU,Pluton,$6.40,-0.4%,-7.3%,-17.2%,-24.6%,"$415,316","4,100,183",20 Million,"$26,347,689"
MIMATIC,MAI,$0.951117,0.2%,0.4%,-0.3%,-1.8%,"$1,053,899","27,563,987",305 Million,"$26,232,336"
AHT,AhaToken,$0.00659856,0.4%,-3.0%,-15.6%,-8.3%,"$9,089,481","3,991,160,214",7.77 Billion,"$26,249,709"
WAGMIGAMES,WAGMI Games,$0.00001455,-2.3%,-4.2%,-16.6%,-48.1%,"$520,644","1,805,105,559,497",2.2 Trillion,"$26,224,071"
ALU,Altura,$0.03647140,-1.5%,-2.4%,-12.1%,-22.6%,"$780,620","719,755,021",990 Million,"$26,241,412"
SETH,sETH,"$1,689.80",0.3%,-6.0%,-8.7%,-11.3%,"$130,934","15,421",15.4 Thousand,"$26,062,305"
ATA,Automata,$0.064980,0.5%,-13.6%,-20.3%,-26.8%,"$2,459,648","401,140,219",1 Billion,"$26,062,535"
SBD,Steem Dollars,$2.10,0.7%,-3.1%,-8.4%,-9.7%,"$1,152,568","12,369,943",-,"$26,016,135"
LYRA,Lyra Finance,$0.061033,0.6%,-4.0%,-5.8%,-33.0%,"$87,003","424,126,209",1 Billion,"$25,908,669"
CTXC,Cortex,$0.120402,0.7%,-8.2%,-13.1%,-25.5%,"$2,385,853","214,360,192",300 Million,"$25,758,635"
0XBTC,0xBitcoin,$2.08,-,-,-,-,-,"10,835,900",21 Million,"$22,559,149"
POLS,Polkastarter,$0.257638,0.6%,-6.0%,-13.8%,-18.3%,"$1,597,226","99,301,432",100 Million,"$25,617,712"
OG,OG Fan Token,$6.40,-3.2%,97.0%,71.5%,54.2%,"$59,052,673","3,892,572",5 Million,"$25,532,488"
KEY,SelfKey,$0.00425180,0.9%,-12.3%,-19.6%,-25.1%,"$4,040,500","5,999,999,954",6 Billion,"$25,493,727"
FHM,Fantohm,$8.64,0.0%,-0.6%,37.5%,222.5%,"$4,357","2,940,265",2.26 Million,"$25,439,377"
LIT,Litentry,$0.553161,0.5%,-12.0%,-16.6%,-24.6%,"$4,996,444","45,824,365",100 Million,"$25,339,460"
TARA,Taraxa,$0.00654624,0.5%,1.6%,-36.9%,632.3%,"$2,918,668","3,847,103,916",10.2 Billion,"$25,192,018"
U,Unidef,$0.00014536,-0.2%,-1.9%,2.3%,12.1%,"$118,292","172,259,933,000",792 Billion,"$25,046,796"
UNFI,Unifi Protocol DAO,$3.64,4.4%,-14.6%,-3.8%,8.6%,"$29,596,988","6,883,242",10 Million,"$25,043,741"
BSW,Biswap,$0.066869,-0.2%,-9.8%,-19.5%,-28.0%,"$5,989,636","373,032,214",435 Million,"$25,033,767"
GXC,GXChain,$0.333829,4.0%,3.7%,10.3%,12.7%,"$12,814","75,000,000",100 Million,"$24,903,357"
DMT,Dream Machine Token,$41.46,3.1%,3.1%,-11.4%,17.2%,"$1,695,465","601,463",1 Million,"$24,903,257"
COPI,Cornucopias,$0.03188520,0.1%,-4.6%,-16.2%,-3.9%,"$292,210","779,408,905",3.84 Billion,"$24,853,565"
HDN,Hydranet,$0.143774,2.3%,-4.9%,17.9%,129.3%,"$221,591","172,587,827",300 Million,"$24,811,438"
BEAI,BeNFT Solutions,$14.60,1.7%,0.6%,2.2%,426.2%,"$275,373","1,700,146",7 Million,"$24,809,629"
TRB,Tellor Tributes,$9.99,0.9%,-13.4%,-12.6%,-5.3%,"$5,019,374","2,480,402",2.5 Million,"$24,753,333"
BOND,BarnBridge,$2.65,2.0%,-2.9%,-10.1%,-9.9%,"$2,933,428","9,296,291",10 Million,"$24,664,787"
FORTH,Ampleforth Governance,$2.56,-0.2%,-4.7%,-10.2%,-11.5%,"$4,872,764","9,564,987",15.3 Million,"$24,505,485"
DIA,DIA,$0.220567,-0.6%,-4.3%,-9.0%,-15.2%,"$2,770,019","110,617,604",169 Million,"$24,422,557"
LOOKS,LooksRare,$0.04486986,0.2%,-9.4%,-17.6%,-23.7%,"$3,892,231","544,846,570",942 Million,"$24,400,335"
CBAT,cBAT,$0.00347650,,-9.9%,-21.8%,-15.3%,"$463,522","6,977,626,866",6.98 Billion,"$24,257,695"
RVF,RocketX exchange,$0.334161,5.2%,11.9%,-10.8%,7.4%,"$499,612","76,626,193",99.7 Million,"$24,072,888"
MLN,Enzyme,$16.53,0.2%,-4.5%,-9.5%,-5.0%,"$560,641","1,453,964",2.37 Million,"$24,039,424"
H2O,H2O Dao,$0.103170,-3.2%,-9.7%,-12.3%,-15.0%,"$163,538","225,062,277",1 Billion,"$23,983,100"
SAI,Sai,$7.46,-,-,-,-,-,"2,893,362",2.89 Million,"$21,587,665"
BIFI,Beefy,$297.60,-0.0%,-5.3%,-12.4%,-15.7%,"$202,666","80,000",80 Thousand,"$23,810,816"
PLT,Poollotto.finance,$1.81,-0.1%,-5.1%,-6.9%,-17.2%,$20.92,"13,062,526",19.3 Million,"$23,699,358"
MEVFREE,MEVFree,$0.388607,-1.3%,5.3%,0.6%,611.4%,"$624,609","60,000,000",70 Million,"$23,505,783"
AMPL,Ampleforth,$1.04,-0.1%,-3.9%,-3.0%,-1.4%,"$311,563","22,519,127",27.6 Million,"$23,330,839"
OSAK,Osaka Protocol,$0.000000030589,0.1%,-19.8%,-0.0%,32.8%,"$449,674","761,500,000,000,000",762 Trillion,"$23,282,708"
DIONE,Dione,$0.00243751,0.8%,-1.4%,-0.4%,-6.6%,"$788,084","9,479,896,566",9.89 Billion,"$23,061,996"
